source,var_name,var_label,value,value_label
survey_res_currentvehs,vehtype,Vehicle type,1,Subcompact car
survey_res_currentvehs,vehtype,Vehicle type,2,Compact car
survey_res_currentvehs,vehtype,Vehicle type,3,Midsize car
survey_res_currentvehs,vehtype,Vehicle type,4,Large car
survey_res_currentvehs,vehtype,Vehicle type,5,Sports car
survey_res_currentvehs,vehtype,Vehicle type,6,"Crossover, small"
survey_res_currentvehs,vehtype,Vehicle type,7,"Crossover, midsize"
survey_res_currentvehs,vehtype,Vehicle type,8,"SUV, small/midsize"
survey_res_currentvehs,vehtype,Vehicle type,9,"SUV, full-size/large"
survey_res_currentvehs,vehtype,Vehicle type,10,"Pickup truck, small"
survey_res_currentvehs,vehtype,Vehicle type,11,"Pickup truck, full-size/large"
survey_res_currentvehs,vehtype,Vehicle type,12,"Van, small"
survey_res_currentvehs,vehtype,Vehicle type,13,"Van, full-size/large"
survey_res_currentvehs,vehmake,Vehicle make,1,Acura
survey_res_currentvehs,vehmake,Vehicle make,2,Aston Martin
survey_res_currentvehs,vehmake,Vehicle make,3,Audi
survey_res_currentvehs,vehmake,Vehicle make,4,Bentley
survey_res_currentvehs,vehmake,Vehicle make,5,BMW
survey_res_currentvehs,vehmake,Vehicle make,6,Buick
survey_res_currentvehs,vehmake,Vehicle make,7,Cadillac
survey_res_currentvehs,vehmake,Vehicle make,8,Chevrolet
survey_res_currentvehs,vehmake,Vehicle make,9,Chrysler
survey_res_currentvehs,vehmake,Vehicle make,10,Dodge
survey_res_currentvehs,vehmake,Vehicle make,11,Ferrari
survey_res_currentvehs,vehmake,Vehicle make,12,Fiat
survey_res_currentvehs,vehmake,Vehicle make,13,Ford
survey_res_currentvehs,vehmake,Vehicle make,14,GMC
survey_res_currentvehs,vehmake,Vehicle make,15,Honda
survey_res_currentvehs,vehmake,Vehicle make,16,HUMMER
survey_res_currentvehs,vehmake,Vehicle make,17,Hyundai
survey_res_currentvehs,vehmake,Vehicle make,18,Infiniti
survey_res_currentvehs,vehmake,Vehicle make,19,Isuzu
survey_res_currentvehs,vehmake,Vehicle make,20,Jaguar
survey_res_currentvehs,vehmake,Vehicle make,21,Jeep
survey_res_currentvehs,vehmake,Vehicle make,22,Kia
survey_res_currentvehs,vehmake,Vehicle make,23,Lamborghini
survey_res_currentvehs,vehmake,Vehicle make,24,Land Rover
survey_res_currentvehs,vehmake,Vehicle make,25,Lexus
survey_res_currentvehs,vehmake,Vehicle make,26,Lincoln
survey_res_currentvehs,vehmake,Vehicle make,27,Lotus
survey_res_currentvehs,vehmake,Vehicle make,28,Maserati
survey_res_currentvehs,vehmake,Vehicle make,29,Maybach
survey_res_currentvehs,vehmake,Vehicle make,30,Mazda
survey_res_currentvehs,vehmake,Vehicle make,31,Mercedes-Benz
survey_res_currentvehs,vehmake,Vehicle make,32,Mercury
survey_res_currentvehs,vehmake,Vehicle make,33,MINI
survey_res_currentvehs,vehmake,Vehicle make,34,Mitsubishi
survey_res_currentvehs,vehmake,Vehicle make,35,Nissan
survey_res_currentvehs,vehmake,Vehicle make,36,Oldsmobile
survey_res_currentvehs,vehmake,Vehicle make,37,Panoz
survey_res_currentvehs,vehmake,Vehicle make,38,Pontiac
survey_res_currentvehs,vehmake,Vehicle make,39,Porsche
survey_res_currentvehs,vehmake,Vehicle make,41,Rolls-Royce
survey_res_currentvehs,vehmake,Vehicle make,42,Saab
survey_res_currentvehs,vehmake,Vehicle make,43,Saturn
survey_res_currentvehs,vehmake,Vehicle make,44,Scion
survey_res_currentvehs,vehmake,Vehicle make,45,Smart
survey_res_currentvehs,vehmake,Vehicle make,46,Subaru
survey_res_currentvehs,vehmake,Vehicle make,47,Suzuki
survey_res_currentvehs,vehmake,Vehicle make,48,Toyota
survey_res_currentvehs,vehmake,Vehicle make,49,Tesla
survey_res_currentvehs,vehmake,Vehicle make,50,Volkswagen
survey_res_currentvehs,vehmake,Vehicle make,51,Volvo
survey_res_currentvehs,vehmake,Vehicle make,52,Other/Don't know
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,1,Gasoline
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,2,Hybrid (Gasoline)
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,3,Plug-in Hybrid Electric vehicle (PHEV)
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,4,Gasoline-ethanol Flex Fuel vehicle (E85 FFV)
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,5,Diesel
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,7,Compressed Natural Gas (CNG) vehicle
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,9,Full Electric Vehicle
survey_res_currentvehs,vehfueltype,Vehicle engine/fuel type,10,Hydrogen vehicle
survey_res_currentvehs,d18_how_acquired,How was this vehicle acquired by your household?,1,Purchased new
survey_res_currentvehs,d18_how_acquired,How was this vehicle acquired by your household?,2,Leased new
survey_res_currentvehs,d18_how_acquired,How was this vehicle acquired by your household?,3,Purchased used or previously owned
survey_res_currentvehs,d18_how_acquired,How was this vehicle acquired by your household?,4,Other (e.g. gifted or inherited)
survey_res_currentvehs,replacement,Was this vehicle a replacement for a previous vehicle in your household?,1,Yes
survey_res_currentvehs,replacement,Was this vehicle a replacement for a previous vehicle in your household?,2,"No, it was an additional vehicle"
survey_res_currentvehs,season_acquired,What time of year was this vehicle acquired?,1,Winter
survey_res_currentvehs,season_acquired,What time of year was this vehicle acquired?,2,Spring
survey_res_currentvehs,season_acquired,What time of year was this vehicle acquired?,3,Summer
survey_res_currentvehs,season_acquired,What time of year was this vehicle acquired?,4,Fall
survey_res_currentvehs,season_acquired,What time of year was this vehicle acquired?,5,Don’t know
survey_res_currentvehs,other_drivers,How often is this vehicle driven by other members of the household?,1,Frequently (i.e. every day)
survey_res_currentvehs,other_drivers,How often is this vehicle driven by other members of the household?,2,Sometimes (i.e. once or twice a week)
survey_res_currentvehs,other_drivers,How often is this vehicle driven by other members of the household?,3,Rarely (i.e. once a month or less)
survey_res_currentvehs,other_drivers,How often is this vehicle driven by other members of the household?,4,Never
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,1,In less than 1 year
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,2,In 1 to 3 years
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,3,In 3 to 5 years
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,4,In 5 to 10 years
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,5,In more than 10 years
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,6,"Never, I am going to keep it"
survey_res_currentvehs,replace_time,When do you expect to replace this vehicle?,7,"Never, I am going to dispose of it and NOT replace it"
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,1,Trade it in
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,2,Sell it
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,3,Give it away to family/friends
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,4,Donate it to charity
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,5,"Junk it, scrap it"
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,6,Return it to leasing company
survey_res_currentvehs,dispose,How will you dispose of this vehicle?,7,Other
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,1,Subcompact car
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,2,Compact car
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,3,Midsize car
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,4,Large car
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,5,Sports car
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,6,"Crossover, small"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,7,"Crossover, midsize"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,8,"SUV, small/midsize"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,9,"SUV, full-size/large"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,10,"Pickup truck, small"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,11,"Pickup truck, full-size/large"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,12,"Van, small"
survey_res_currentvehs,replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,13,"Van, full-size/large"
survey_res_currentvehs,replace_newused,Do you expect the replacement vehicle to be new or used?,1,New
survey_res_currentvehs,replace_newused,Do you expect the replacement vehicle to be new or used?,2,"Used, 1 to 3 years old"
survey_res_currentvehs,replace_newused,Do you expect the replacement vehicle to be new or used?,3,"Used, 3 to 5 years old"
survey_res_currentvehs,replace_newused,Do you expect the replacement vehicle to be new or used?,4,"Used, 5 to 10 years old"
survey_res_currentvehs,replace_newused,Do you expect the replacement vehicle to be new or used?,5,"Used, More than 10 years old"
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,1,Gasoline
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,2,Hybrid (Gasoline)
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,3,Plug-in Hybrid Electric vehicle (PHEV)
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,4,Gasoline-ethanol Flex Fuel vehicle (E85 FFV)
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,5,Diesel
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,7,Compressed Natural Gas (CNG) vehicle
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,9,Full Electric Vehicle
survey_res_currentvehs,replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,10,Hydrogen vehicle
survey_res_currentvehs,pevowner,Current ownership/lease of one or more Plug-in Hybrid Electric Vehicles (PHEV's) or Battery Electric Vehicles (BEV's),0,Respondent does not have any PHEV's or BEV's
survey_res_currentvehs,pevowner,Current ownership/lease of one or more Plug-in Hybrid Electric Vehicles (PHEV's) or Battery Electric Vehicles (BEV's),1,Respondent has one or more PHEV's or BEV's
survey_res_households,gender,Gender,1,Male
survey_res_households,gender,Gender,2,Female
survey_res_households,gender,Gender,3,Other
survey_res_households,gender,Gender,4,Prefer not to answer
survey_res_households,ethnicity,Ethnic background,1,American Indian or Alaska Native
survey_res_households,ethnicity,Ethnic background,2,Asian
survey_res_households,ethnicity,Ethnic background,3,Black or African American
survey_res_households,ethnicity,Ethnic background,4,Hispanic or Latino
survey_res_households,ethnicity,Ethnic background,5,Native Hawaiian or Other Pacific Islander
survey_res_households,ethnicity,Ethnic background,6,White
survey_res_households,ethnicity,Ethnic background,7,"Other, please specify"
survey_res_households,ethnicity,Ethnic background,8,Prefer not to answer
survey_res_households,education,Highest level of education completed,1,Less than high school
survey_res_households,education,Highest level of education completed,2,High school graduate/GED
survey_res_households,education,Highest level of education completed,3,Technical school/professional business school
survey_res_households,education,Highest level of education completed,4,Some college
survey_res_households,education,Highest level of education completed,5,"Community college graduate (Associate degree, 2-year degree)"
survey_res_households,education,Highest level of education completed,6,College graduate (4-year degree)
survey_res_households,education,Highest level of education completed,7,Post-graduate work
survey_res_households,education,Highest level of education completed,8,Post graduate degree
survey_res_households,drivingfreq,How often does this person drive?,1,Frequently (i.e. every day)
survey_res_households,drivingfreq,How often does this person drive?,2,Sometimes (i.e. once or twice a week)
survey_res_households,drivingfreq,How often does this person drive?,3,Rarely (i.e. once a month or less)
survey_res_households,drivingfreq,How often does this person drive?,4,Never
survey_res_households,drivingfreq,How often does this person drive?,5,"Not applicable, no license"
survey_res_households,employment,Employment status,1,Full-time (total 35 or more hours per week)
survey_res_households,employment,Employment status,2,Part-time (total less than 35 hours per week)
survey_res_households,employment,Employment status,3,Both full- and part-time
survey_res_households,employment,Employment status,4,"Do not work for pay (e.g. retired, unemployed)"
survey_res_households,employment,Employment status,5,Self employed
survey_res_households,commutework,[If employed] Does this person leave home to travel to work?,1,Yes
survey_res_households,commutework,[If employed] Does this person leave home to travel to work?,2,No
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,1,Drive alone using a personal vehicle
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,2,Carpool/vanpool
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,3,"Rail (light/heavy, subway/metro, etc.)"
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,4,Bus
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,5,Walk
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,6,Motorcycle
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,7,Bicycle
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,8,Other
survey_res_households,worktransport,[If leaves home to travel to work] Primary type of transportation used to get to work,9,Telecommute
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,1,One day
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,2,Two days
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,3,Three days
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,4,Four days
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,5,Five days
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,6,Six days
survey_res_households,workdays,[If leaves home to travel to work] Number of days per week with travel to primary workplace,7,Seven days
survey_res_households,workvehicle,[If leaves home to travel to work] Use household vehicle for part or all of the trip to work?,1,Part
survey_res_households,workvehicle,[If leaves home to travel to work] Use household vehicle for part or all of the trip to work?,2,All
survey_res_households,workvehicle,[If leaves home to travel to work] Use household vehicle for part or all of the trip to work?,3,Not at all
survey_res_households,enrolled,Currently enrolled in college/university?,1,Full-time on campus
survey_res_households,enrolled,Currently enrolled in college/university?,2,Part-time on campus
survey_res_households,enrolled,Currently enrolled in college/university?,3,Full-time or part-time online
survey_res_households,enrolled,Currently enrolled in college/university?,4,Not currently enrolled
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,1,"Drive alone using a car, SUV, pickup, or van"
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,2,Carpool/vanpool
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,3,"Rail (light/heavy, subway/metro, trolley, etc.)"
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,4,Bus
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,5,Walk
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,6,Motorcycle
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,7,Bicycle
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,8,Other
survey_res_households,schooltransport,[If enrolled] What is the primary type of transportation you use to get to school?,9,Online courses/online programs
survey_res_households,pevowner,Current ownership/lease of one or more Plug-in Hybrid Electric Vehicles (PHEV's) or Battery Electric Vehicles (BEV's),0,Respondent does not have any PHEV's or BEV's
survey_res_households,pevowner,Current ownership/lease of one or more Plug-in Hybrid Electric Vehicles (PHEV's) or Battery Electric Vehicles (BEV's),1,Respondent has one or more PHEV's or BEV's
survey_res_main,recruit,Administration Type,1,General residential postcard
survey_res_main,recruit,Administration Type,2,PEV postcard
survey_res_main,recruit,Administration Type,3,Research Now
survey_res_main,language,Language,1,English
survey_res_main,language,Language,2,Spanish
survey_res_main,county,What county do you currently live in?,1,Alameda County
survey_res_main,county,What county do you currently live in?,2,Alpine County
survey_res_main,county,What county do you currently live in?,3,Amador County
survey_res_main,county,What county do you currently live in?,4,Butte County
survey_res_main,county,What county do you currently live in?,5,Calaveras County
survey_res_main,county,What county do you currently live in?,6,Colusa County
survey_res_main,county,What county do you currently live in?,7,Contra Costa County
survey_res_main,county,What county do you currently live in?,8,Del Norte County
survey_res_main,county,What county do you currently live in?,9,El Dorado County
survey_res_main,county,What county do you currently live in?,10,Fresno County
survey_res_main,county,What county do you currently live in?,11,Glenn County
survey_res_main,county,What county do you currently live in?,12,Humboldt County
survey_res_main,county,What county do you currently live in?,13,Imperial County
survey_res_main,county,What county do you currently live in?,14,Inyo County
survey_res_main,county,What county do you currently live in?,15,Kern County
survey_res_main,county,What county do you currently live in?,16,Kings County
survey_res_main,county,What county do you currently live in?,17,Lake County
survey_res_main,county,What county do you currently live in?,18,Lassen County
survey_res_main,county,What county do you currently live in?,19,Los Angeles County
survey_res_main,county,What county do you currently live in?,20,Madera County
survey_res_main,county,What county do you currently live in?,21,Marin County
survey_res_main,county,What county do you currently live in?,22,Mariposa County
survey_res_main,county,What county do you currently live in?,23,Mendocino County
survey_res_main,county,What county do you currently live in?,24,Merced County
survey_res_main,county,What county do you currently live in?,25,Modoc County
survey_res_main,county,What county do you currently live in?,26,Mono County
survey_res_main,county,What county do you currently live in?,27,Monterey County
survey_res_main,county,What county do you currently live in?,28,Napa County
survey_res_main,county,What county do you currently live in?,29,Nevada County
survey_res_main,county,What county do you currently live in?,30,Orange County
survey_res_main,county,What county do you currently live in?,31,Placer County
survey_res_main,county,What county do you currently live in?,32,Plumas County
survey_res_main,county,What county do you currently live in?,33,Riverside County
survey_res_main,county,What county do you currently live in?,34,Sacramento County
survey_res_main,county,What county do you currently live in?,35,San Benito County
survey_res_main,county,What county do you currently live in?,36,San Bernardino County
survey_res_main,county,What county do you currently live in?,37,San Diego County
survey_res_main,county,What county do you currently live in?,38,San Francisco County
survey_res_main,county,What county do you currently live in?,39,San Joaquin County
survey_res_main,county,What county do you currently live in?,40,San Luis Obispo County
survey_res_main,county,What county do you currently live in?,41,San Mateo County
survey_res_main,county,What county do you currently live in?,42,Santa Barbara County
survey_res_main,county,What county do you currently live in?,43,Santa Clara County
survey_res_main,county,What county do you currently live in?,44,Santa Cruz County
survey_res_main,county,What county do you currently live in?,45,Shasta County
survey_res_main,county,What county do you currently live in?,46,Sierra County
survey_res_main,county,What county do you currently live in?,47,Siskiyou County
survey_res_main,county,What county do you currently live in?,48,Solano County
survey_res_main,county,What county do you currently live in?,49,Sonoma County
survey_res_main,county,What county do you currently live in?,50,Stanislaus County
survey_res_main,county,What county do you currently live in?,51,Sutter County
survey_res_main,county,What county do you currently live in?,52,Tehama County
survey_res_main,county,What county do you currently live in?,53,Trinity County
survey_res_main,county,What county do you currently live in?,54,Tulare County
survey_res_main,county,What county do you currently live in?,55,Tuolumne County
survey_res_main,county,What county do you currently live in?,56,Ventura County
survey_res_main,county,What county do you currently live in?,57,Yolo County
survey_res_main,county,What county do you currently live in?,58,Yuba County
survey_res_main,county,What county do you currently live in?,59,Other
survey_res_main,futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",1,I will be the sole decision maker
survey_res_main,futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",2,I will be the primary decision maker with input from another household member
survey_res_main,futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",3,I will share equally in making the decision with another household member(s)
survey_res_main,futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",4,"I will provide input into the decision, but I will not be the primary decision maker"
survey_res_main,futuredecisionrole,"For your household, what will be the extent of your involvement in future vehicle purchase or lease decisions?",5,Another person will be the sole decision maker
survey_res_main,housing,What type of housing do you live at?,1,Single family house not attached to any other house
survey_res_main,housing,What type of housing do you live at?,2,"Single family house attached to one or more houses (townhouse, duplex, triplex) each with separate entry"
survey_res_main,housing,What type of housing do you live at?,3,A mobile home
survey_res_main,housing,What type of housing do you live at?,4,Building with 2
survey_res_main,housing,What type of housing do you live at?,5,Building with 5
survey_res_main,housing,What type of housing do you live at?,6,Building with 20 or more apartments/ condos / studios / rooms
survey_res_main,housing,What type of housing do you live at?,7,"Boat, RV, Van, etc."
survey_res_main,housing,What type of housing do you live at?,8,"Other, please specify:"
survey_res_main,parkingtype,What type of parking do you primarily use at your residence?,1,Personal garage
survey_res_main,parkingtype,What type of parking do you primarily use at your residence?,2,Personal drive way
survey_res_main,parkingtype,What type of parking do you primarily use at your residence?,3,Parking garage
survey_res_main,parkingtype,What type of parking do you primarily use at your residence?,4,Parking lot
survey_res_main,parkingtype,What type of parking do you primarily use at your residence?,5,Street Parking
survey_res_main,parkingpay,Do you pay to park at your residence?,1,Yes
survey_res_main,parkingpay,Do you pay to park at your residence?,2,No
survey_res_main,parkperiod,Length of time for each parking payment,1,Per day
survey_res_main,parkperiod,Length of time for each parking payment,2,Per week
survey_res_main,parkperiod,Length of time for each parking payment,3,Per month
survey_res_main,companyvehicles,"Do you, or does any member of your household, have access to a company or employer supplied vehicle for personal use?",1,Yes
survey_res_main,companyvehicles,"Do you, or does any member of your household, have access to a company or employer supplied vehicle for personal use?",2,No
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",1,Less than 1 year
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",2,1 to 2 years
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",3,3 to 5 years
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",4,6 to 9 years
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",5,10 years or more
survey_res_main,futurefirst,"When do you anticipate purchasing or leasing a car, SUV, van, or pick-up truck in your household? Do NOT include vehicles that will be supplied by employers.",6,I never plan to purchase or lease a vehicle
survey_res_main,pevowner,Do you or any other members of your household currently own a Plug-In Electric Vehicle (plug-in hybrid or full electric)?,1,Yes
survey_res_main,pevowner,Do you or any other members of your household currently own a Plug-In Electric Vehicle (plug-in hybrid or full electric)?,2,No
survey_res_main,whyphev1,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money on fuel costs",0,Not Selected
survey_res_main,whyphev1,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money on fuel costs",1,Selected
survey_res_main,whyphev2,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money overall",0,Not Selected
survey_res_main,whyphev2,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Saving money overall",1,Selected
survey_res_main,whyphev3,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Good lease terms & options",0,Not Selected
survey_res_main,whyphev3,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Good lease terms & options",1,Selected
survey_res_main,whyphev4,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Reducing environmental impacts",0,Not Selected
survey_res_main,whyphev4,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Reducing environmental impacts",1,Selected
survey_res_main,whyphev5,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Carpool or High Occupancy Vehicle (HOV) lane access",0,Not Selected
survey_res_main,whyphev5,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Carpool or High Occupancy Vehicle (HOV) lane access",1,Selected
survey_res_main,whyphev6,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free or privileged parking space",0,Not Selected
survey_res_main,whyphev6,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free or privileged parking space",1,Selected
survey_res_main,whyphev7,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Better finance/interest rate",0,Not Selected
survey_res_main,whyphev7,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Better finance/interest rate",1,Selected
survey_res_main,whyphev8,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Manufacturer or dealer cash back",0,Not Selected
survey_res_main,whyphev8,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Manufacturer or dealer cash back",1,Selected
survey_res_main,whyphev9,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Insurance discount",0,Not Selected
survey_res_main,whyphev9,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Insurance discount",1,Selected
survey_res_main,whyphev10,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Politics of fossil fuels",0,Not Selected
survey_res_main,whyphev10,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Politics of fossil fuels",1,Selected
survey_res_main,whyphev11,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Convenience of charging at home or work",0,Not Selected
survey_res_main,whyphev11,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Convenience of charging at home or work",1,Selected
survey_res_main,whyphev12,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free charging at work or away from home",0,Not Selected
survey_res_main,whyphev12,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free charging at work or away from home",1,Selected
survey_res_main,whyphev13,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Special/low EV electricity rate at home",0,Not Selected
survey_res_main,whyphev13,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Special/low EV electricity rate at home",1,Selected
survey_res_main,whyphev14,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Vehicle performance",0,Not Selected
survey_res_main,whyphev14,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Vehicle performance",1,Selected
