source,var_name,var_label,value,value_label
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,1,Subcompact car
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,2,Compact car
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,3,Midsize car
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,4,Large car
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,5,Sports car
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,6,Subcompact cross-over
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,7,Compact cross-over/SUV
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,8,Midsize cross-over/SUV
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,9,Full-size/large SUV
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,10,Small van
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,11,Full-size/large van
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,12,Small pickup truck
survey_res_dce,alt_1_vehtype,Alternative 1 Vehicle Type,13,Full-size/large pickup truck
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,1,Subcompact car
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,2,Compact car
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,3,Midsize car
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,4,Large car
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,5,Sports car
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,6,Subcompact cross-over
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,7,Compact cross-over/SUV
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,8,Midsize cross-over/SUV
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,9,Full-size/large SUV
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,10,Small van
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,11,Full-size/large van
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,12,Small pickup truck
survey_res_dce,alt_2_vehtype,Alternative 2 Vehicle Type,13,Full-size/large pickup truck
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,1,Subcompact car
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,2,Compact car
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,3,Midsize car
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,4,Large car
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,5,Sports car
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,6,Subcompact cross-over
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,7,Compact cross-over/SUV
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,8,Midsize cross-over/SUV
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,9,Full-size/large SUV
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,10,Small van
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,11,Full-size/large van
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,12,Small pickup truck
survey_res_dce,alt_3_vehtype,Alternative 3 Vehicle Type,13,Full-size/large pickup truck
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,1,Subcompact car
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,2,Compact car
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,3,Midsize car
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,4,Large car
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,5,Sports car
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,6,Subcompact cross-over
survey_res_dce,alt_4_vehtype,Alternative 4 Vehicle Type,7,Compact cross-over/SUV
